"id","code","name"
121,"034227","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA PERCUTANEA"
122,"034228","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
123,"034229","RESECCION DE TUMOR O LESION INTRARAQUIDEO SACRO VIA ABIERTA"
124,"034230","RESECCION DE TUMOR O LESION INTRARAQUIDEO SACRO VIA ENDOSCOPICA"
125,"034307","RESECCION DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL EXTRADURAL CON EXTENSION FORAMINAL"
126,"013106","DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL"
127,"013107","INCISION DE MENINGES CEREBRALES"
128,"013110","DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS"
129,"013201","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACION POR ESTEREOTAXIA"
130,"013202","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMIA"
131,"013204","SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VIA ENDOSCOPICA"
132,"034308","RESECCION DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL INTRA Y EXTRADURAL CON EXTENSION FORAMINAL"
133,"034309","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA ABIERTA"
134,"034310","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA PERCUTANEA"
135,"034311","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA ENDOSCOPICA"
136,"034312","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
137,"034313","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA PERCUTANEA"
138,"034314","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
139,"034315","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
140,"034316","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA PERCUTANEA"
141,"034317","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
142,"013205","SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA"
143,"013206","SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA"
144,"013207","SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA"
145,"013208","SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA"
146,"013209","SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) POR CRANEOTOMIA"
147,"013210","SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) VIA ENDOSCOPICA"
148,"034318","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
149,"034319","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS VIA PERCUTANEA"
150,"034320","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
151,"034321","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ABIERTA"
152,"034322","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA PERCUTANEA"
153,"034323","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
154,"034324","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ABIERTA"
155,"034325","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA PERCUTANEA"
156,"034326","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
157,"034327","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ABIERTA"
158,"013211","AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMIA"
159,"013212","AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) CON ABLACION"
160,"013213","AMIGDALOHIPOCAMPECTOMIA SUPRASELECTIVA (TRACTO CEREBRAL) VIA ENDOSCOPICA"
161,"013214","TRACTOTOMIA LOBAR POR CRANEOTOMIA"
162,"013215","TRACTOTOMIA LOBAR VIA ENDOSCOPICA"
163,"013216","CINGULOTOMIA ESTEREOTACTICA"
164,"034328","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA PERCUTANEA"
165,"034329","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
166,"034330","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SACRO VIA ABIERTA"
167,"034331","RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SACRO VIA ENDOSCOPICA"
168,"034403","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR C1 C2 VIA ABIERTA"
169,"034404","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR C1 C2 VIA PERCUTANEA"
170,"034405","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR C1 C2 VIA ENDOSCOPICA"
171,"034406","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
172,"034407","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS VIA PERCUTANEA"
173,"034408","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
174,"034409","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
175,"034410","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS VIA PERCUTANEA"
176,"034411","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
177,"034412","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
178,"034413","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO HASTA DOS SEGMENTOS VIA PERCUTANEA"
179,"013217","CINGULOTOMIA POR CRANEOTOMIA"
180,"013218","CINGULOTOMIA CON ABLACION"
181,"013219","TRACTOTOMIA MESENCEFALICA U OTRA LESION DE TALLO CEREBRAL"
182,"014103","TALAMOTOMIA POR ESTEREOTAXIA"
183,"014201","PALIDOTOMIA POR ESTEREOTAXIA"
184,"014301","SUBTALAMOTOMIA POR ESTEREOTAXIA"
185,"014401","LESION EN OTRAS ESTRUCTURAS SUBCORTICALES"
186,"034414","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
187,"034415","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO MAS DE DOS SEGMENTOS VIA ABIERTA"
188,"034416","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO MAS DE DOS SEGMENTOS VIA PERCUTANEA"
189,"034417","RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
190,"034418","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR HASTA DOS SEGMENTOS VIA ABIERTA"
191,"034419","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR HASTA DOS SEGMENTOS VIA PERCUTANEA"
192,"034420","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
193,"034421","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR MAS DE DOS SEGMENTOS VIA ABIERTA"
194,"034422","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR MAS DE DOS SEGMENTOS VIA PERCUTANEA"
195,"034423","RESECCION DE TUMOR O LESION INTRAMEDULAR O MULTIRADICULAR LUMBAR MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
196,"015101","RESECCION TUMOR OSEO, POR CRANEOTOMIA"
197,"015102","RESECCION TUMOR OSEO, POR CRANIECTOMIA"
198,"015103","ESCISION DE LESION CRANEAL"
199,"015104","CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA"
200,"015201","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA CRANEOFACIAL ANTERIOR"
201,"015202","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA CRANEOFACIAL ANTEROLATERAL"
202,"034424","RESECCION DE TUMOR O LESION MULTIRADICULAR SACRO VIA ABIERTA"
203,"034425","RESECCION DE TUMOR O LESION MULTIRADICULAR SACRO VIA ENDOSCOPICA"
204,"035102","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON MIELOTOMIA POSTERIOR"
205,"035103","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON DESCOMPRESION VIA ANTERIOR"
206,"035104","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON FUSION OSEA E INJERTO AUTOLOGO O HETEROLOGO"
207,"035105","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE TABIQUE OSEO"
208,"015203","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA ANTEROLATERAL Y RINOTOMIA LATERAL"
209,"015204","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA TRANSZIGOMATICA Y TRANSPALATAL"
210,"015205","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR"
211,"015206","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA ENDONASAL (EXTENDIDA)"
212,"015301","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL"
213,"015302","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR"
214,"015303","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA"
215,"015304","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA"
216,"015305","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL EXTENDIDA"
217,"015306","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL"
218,"035106","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON SECCION DE FILUM TERMINALIS"
219,"035107","CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE CELE, DUROPLASTIA Y PLASTIA DE PIEL"
220,"035108","CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL (SENO DERMICO)"
221,"035109","CORRECCION DE MALFORMACION DE MEDULA ESPINAL SIN INSTRUMENTACION VIA POSTERIOR"
222,"035110","CORRECCION DE MALFORMACION DE MEDULA ESPINAL CON INSTRUMENTACION VIA POSTERIOR"
223,"015307","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA"
224,"015308","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL"
225,"015309","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR ORBITOTOMIA LATERAL"
226,"015310","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL"
227,"015311","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL ENDOSCOPICA"
228,"035201","CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA Y DUROPLASTIA"
229,"035202","CORRECCION DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA"
230,"035401","PLASTIA O INJERTO DE MENINGE ESPINAL"
231,"035402","ESQUIRLECTOMIA CON PLASTIA O INJERTO DE MENINGE ESPINAL"
232,"035501","REPARACION DE FISTULA ESPINAL DE LIQUIDO CEFALORRAQUIDEO (DUROPLASTIA ESPINAL)"
233,"015313","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA ENDONASAL (EXTENDIDA)"
234,"015314","RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA"
